# config_file	system_size	temperature
regime6_1KXK_350K_rep06.namd	medium	350
regime6_1KXK_350K_rep07.namd	medium	350
regime6_1KXK_350K_rep08.namd	medium	350
regime6_1KXK_350K_rep09.namd	medium	350
regime7_1IDV_300K_rep00.namd	tiny	300
regime7_1IDV_300K_rep01.namd	tiny	300
regime7_1IDV_300K_rep02.namd	tiny	300
regime7_1IDV_300K_rep03.namd	tiny	300
regime7_1IDV_300K_rep04.namd	tiny	300
regime7_1IDV_300K_rep05.namd	tiny	300
regime7_1IDV_300K_rep06.namd	tiny	300
regime7_1IDV_300K_rep07.namd	tiny	300
regime7_1IDV_300K_rep08.namd	tiny	300
regime7_1IDV_300K_rep09.namd	tiny	300
regime7_1IDV_350K_rep00.namd	tiny	350
regime7_1IDV_350K_rep01.namd	tiny	350
regime7_1IDV_350K_rep02.namd	tiny	350
regime7_1IDV_350K_rep03.namd	tiny	350
regime7_1IDV_350K_rep04.namd	tiny	350
regime7_1IDV_350K_rep05.namd	tiny	350
regime7_1IDV_350K_rep06.namd	tiny	350
regime7_1IDV_350K_rep07.namd	tiny	350
regime7_1IDV_350K_rep08.namd	tiny	350
regime7_1IDV_350K_rep09.namd	tiny	350
regime8_regime8_domain_300K_rep00.namd	xlarge	300
regime8_regime8_domain_300K_rep01.namd	xlarge	300
regime8_regime8_domain_300K_rep02.namd	xlarge	300
regime8_regime8_domain_300K_rep03.namd	xlarge	300
regime8_regime8_domain_300K_rep04.namd	xlarge	300
regime8_regime8_domain_300K_rep05.namd	xlarge	300
regime8_regime8_domain_300K_rep06.namd	xlarge	300
regime8_regime8_domain_300K_rep07.namd	xlarge	300
regime8_regime8_domain_300K_rep08.namd	xlarge	300
regime8_regime8_domain_300K_rep09.namd	xlarge	300
regime9_1DRZ_300K_rep00.namd	medium	300
regime9_1DRZ_300K_rep01.namd	medium	300
regime9_1DRZ_300K_rep02.namd	medium	300
regime9_1DRZ_300K_rep03.namd	medium	300
regime9_1DRZ_300K_rep04.namd	medium	300
regime9_1DRZ_300K_rep05.namd	medium	300
regime9_1DRZ_300K_rep06.namd	medium	300
regime9_1DRZ_300K_rep07.namd	medium	300
regime9_1DRZ_300K_rep08.namd	medium	300
regime9_1DRZ_300K_rep09.namd	medium	300
regime9_1DRZ_350K_rep00.namd	medium	350
regime9_1DRZ_350K_rep01.namd	medium	350
regime9_1DRZ_350K_rep02.namd	medium	350
regime9_1DRZ_350K_rep03.namd	medium	350
regime9_1DRZ_350K_rep04.namd	medium	350
regime9_1DRZ_350K_rep05.namd	medium	350
regime9_1DRZ_350K_rep06.namd	medium	350
regime9_1DRZ_350K_rep07.namd	medium	350
regime9_1DRZ_350K_rep08.namd	medium	350
regime9_1DRZ_350K_rep09.namd	medium	350
regime10_1MJI_300K_rep00.namd	medium	300
regime10_1MJI_300K_rep01.namd	medium	300
regime10_1MJI_300K_rep02.namd	medium	300
regime10_1MJI_300K_rep03.namd	medium	300
regime10_1MJI_300K_rep04.namd	medium	300
regime10_1MJI_300K_rep05.namd	medium	300
regime10_1MJI_300K_rep06.namd	medium	300
regime10_1MJI_300K_rep07.namd	medium	300
regime10_1MJI_300K_rep08.namd	medium	300
regime10_1MJI_300K_rep09.namd	medium	300
regime10_1MJI_350K_rep00.namd	medium	350
regime10_1MJI_350K_rep01.namd	medium	350
regime10_1MJI_350K_rep02.namd	medium	350
regime10_1MJI_350K_rep03.namd	medium	350
regime10_1MJI_350K_rep04.namd	medium	350
regime10_1MJI_350K_rep05.namd	medium	350
regime10_1MJI_350K_rep06.namd	medium	350
regime10_1MJI_350K_rep07.namd	medium	350
regime10_1MJI_350K_rep08.namd	medium	350
regime10_1MJI_350K_rep09.namd	medium	350
regime11_1HQ1_300K_rep00.namd	medium	300
regime11_1HQ1_300K_rep01.namd	medium	300
regime11_1HQ1_300K_rep02.namd	medium	300
regime11_1HQ1_300K_rep03.namd	medium	300
regime11_1HQ1_300K_rep04.namd	medium	300
regime11_1HQ1_300K_rep05.namd	medium	300
regime11_1HQ1_300K_rep06.namd	medium	300
regime11_1HQ1_300K_rep07.namd	medium	300
regime11_1HQ1_300K_rep08.namd	medium	300
regime11_1HQ1_300K_rep09.namd	medium	300
regime11_1HQ1_350K_rep00.namd	medium	350
regime11_1HQ1_350K_rep01.namd	medium	350
regime11_1HQ1_350K_rep02.namd	medium	350
regime11_1HQ1_350K_rep03.namd	medium	350
regime11_1HQ1_350K_rep04.namd	medium	350
regime11_1HQ1_350K_rep05.namd	medium	350
regime11_1HQ1_350K_rep06.namd	medium	350
regime11_1HQ1_350K_rep07.namd	medium	350
regime11_1HQ1_350K_rep08.namd	medium	350
regime11_1HQ1_350K_rep09.namd	medium	350
regime12_1KQ2_300K_rep00.namd	tiny	300
regime12_1KQ2_300K_rep01.namd	tiny	300
regime12_1KQ2_300K_rep02.namd	tiny	300
regime12_1KQ2_300K_rep03.namd	tiny	300
regime12_1KQ2_300K_rep04.namd	tiny	300
regime12_1KQ2_300K_rep05.namd	tiny	300
regime12_1KQ2_300K_rep06.namd	tiny	300
regime12_1KQ2_300K_rep07.namd	tiny	300
regime12_1KQ2_300K_rep08.namd	tiny	300
regime12_1KQ2_300K_rep09.namd	tiny	300
regime12_1KQ2_350K_rep00.namd	tiny	350
regime12_1KQ2_350K_rep01.namd	tiny	350
regime12_1KQ2_350K_rep02.namd	tiny	350
regime12_1KQ2_350K_rep03.namd	tiny	350
regime12_1KQ2_350K_rep04.namd	tiny	350
regime12_1KQ2_350K_rep05.namd	tiny	350
regime12_1KQ2_350K_rep06.namd	tiny	350
regime12_1KQ2_350K_rep07.namd	tiny	350
regime12_1KQ2_350K_rep08.namd	tiny	350
regime12_1KQ2_350K_rep09.namd	tiny	350
